Run ID,True Positives,False Positives,Total Predicted Anomaly Alerts,MITRE-Mapped Alerts,No MITRE Mapping Alerts,Technique Counts,Tactic Counts
1,800,270,1070,922,148,T1078 (347); T1110 (647); T1133 (268); T1190 (9),credential-access (647); defense-evasion (347); initial-access (624); persistence (615); privilege-escalation (347)
2,800,250,1050,895,155,T1078 (349); T1110 (642); T1133 (245); T1190 (9),credential-access (642); defense-evasion (349); initial-access (603); persistence (594); privilege-escalation (349)
3,800,273,1073,923,150,T1078 (349); T1110 (649); T1133 (267); T1190 (9),credential-access (649); defense-evasion (349); initial-access (625); persistence (616); privilege-escalation (349)
4,800,269,1069,903,166,T1078 (347); T1110 (629); T1133 (267); T1190 (9),credential-access (629); defense-evasion (347); initial-access (623); persistence (614); privilege-escalation (347)
5,800,240,1040,904,136,T1078 (348); T1110 (652); T1133 (244); T1190 (9),credential-access (652); defense-evasion (348); initial-access (601); persistence (592); privilege-escalation (348)
6,777,239,1016,881,135,T1078 (326); T1110 (618); T1133 (255); T1190 (9),credential-access (618); defense-evasion (326); initial-access (590); persistence (581); privilege-escalation (326)
7,800,800,1600,912,688,T1078 (348); T1110 (640); T1133 (264); T1190 (9),credential-access (640); defense-evasion (348); initial-access (621); persistence (612); privilege-escalation (348)
8,800,264,1064,908,156,T1078 (348); T1110 (650); T1133 (250); T1190 (9),credential-access (650); defense-evasion (348); initial-access (607); persistence (598); privilege-escalation (348)
9,800,246,1046,898,148,T1078 (348); T1110 (638); T1133 (251); T1190 (9),credential-access (638); defense-evasion (348); initial-access (608); persistence (599); privilege-escalation (348)
10,590,211,801,653,148,T1078 (347); T1110 (628); T1133 (18); T1190 (9),credential-access (628); defense-evasion (347); initial-access (374); persistence (365); privilege-escalation (347)
11,567,205,772,629,143,T1078 (326); T1110 (608); T1133 (13); T1190 (9),credential-access (608); defense-evasion (326); initial-access (348); persistence (339); privilege-escalation (326)
12,515,194,709,575,134,T1078 (349); T1110 (553); T1133 (15); T1190 (9),credential-access (553); defense-evasion (349); initial-access (373); persistence (364); privilege-escalation (349)
13,590,224,814,653,161,T1078 (347); T1110 (628); T1133 (18); T1190 (9),credential-access (628); defense-evasion (347); initial-access (374); persistence (365); privilege-escalation (347)
14,567,207,774,650,124,T1078 (325); T1110 (629); T1133 (13); T1190 (9),credential-access (629); defense-evasion (325); initial-access (347); persistence (338); privilege-escalation (325)
15,489,150,639,538,101,T1078 (326); T1110 (518); T1133 (15); T1190 (6),credential-access (518); defense-evasion (326); initial-access (347); persistence (341); privilege-escalation (326)
16,590,214,804,649,155,T1078 (348); T1110 (626); T1133 (15); T1190 (9),credential-access (626); defense-evasion (348); initial-access (372); persistence (363); privilege-escalation (348)
17,590,153,743,651,92,T1078 (348); T1110 (628); T1133 (15); T1190 (9),credential-access (628); defense-evasion (348); initial-access (372); persistence (363); privilege-escalation (348)
18,492,141,633,537,96,T1078 (325); T1110 (514); T1133 (14); T1190 (9),credential-access (514); defense-evasion (325); initial-access (348); persistence (339); privilege-escalation (325)
19,254,185,439,304,135,T1078 (11); T1110 (280); T1133 (17); T1190 (9),credential-access (280); defense-evasion (11); initial-access (37); persistence (28); privilege-escalation (11)
20,564,167,731,625,106,T1078 (326); T1110 (607); T1133 (13); T1190 (6),credential-access (607); defense-evasion (326); initial-access (345); persistence (339); privilege-escalation (326)
21,492,147,639,549,90,T1078 (326); T1110 (527); T1133 (15); T1190 (9),credential-access (527); defense-evasion (326); initial-access (350); persistence (341); privilege-escalation (326)
22,502,200,702,544,158,T1078 (347); T1110 (528); T1133 (18),credential-access (528); defense-evasion (347); initial-access (365); persistence (365); privilege-escalation (347)
23,564,141,705,608,97,T1078 (325); T1110 (593); T1133 (10); T1190 (6),credential-access (593); defense-evasion (325); initial-access (341); persistence (335); privilege-escalation (325)
24,479,133,612,520,92,T1078 (326); T1110 (506); T1133 (15),credential-access (506); defense-evasion (326); initial-access (341); persistence (341); privilege-escalation (326)
25,502,157,659,532,127,T1078 (348); T1110 (520); T1133 (13),credential-access (520); defense-evasion (348); initial-access (361); persistence (361); privilege-escalation (348)
26,567,130,697,609,88,T1078 (325); T1110 (591); T1133 (10); T1190 (9),credential-access (591); defense-evasion (325); initial-access (344); persistence (335); privilege-escalation (325)
27,492,132,624,531,93,T1078 (325); T1110 (510); T1133 (12); T1190 (9),credential-access (510); defense-evasion (325); initial-access (346); persistence (337); privilege-escalation (325)
28,254,185,439,304,135,T1078 (11); T1110 (280); T1133 (17); T1190 (9),credential-access (280); defense-evasion (11); initial-access (37); persistence (28); privilege-escalation (11)
29,564,157,721,625,96,T1078 (326); T1110 (607); T1133 (13); T1190 (6),credential-access (607); defense-evasion (326); initial-access (345); persistence (339); privilege-escalation (326)
30,492,143,635,548,87,T1078 (326); T1110 (527); T1133 (14); T1190 (9),credential-access (527); defense-evasion (326); initial-access (349); persistence (340); privilege-escalation (326)
31,502,175,677,542,135,T1078 (347); T1110 (528); T1133 (16),credential-access (528); defense-evasion (347); initial-access (363); persistence (363); privilege-escalation (347)
32,536,112,648,571,77,T1078 (325); T1110 (556); T1133 (10); T1190 (6),credential-access (556); defense-evasion (325); initial-access (341); persistence (335); privilege-escalation (325)
33,479,126,605,515,90,T1078 (326); T1110 (501); T1133 (15),credential-access (501); defense-evasion (326); initial-access (341); persistence (341); privilege-escalation (326)
34,502,135,637,528,109,T1078 (348); T1110 (520); T1133 (9),credential-access (520); defense-evasion (348); initial-access (357); persistence (357); privilege-escalation (348)
35,492,115,607,527,80,T1078 (325); T1110 (509); T1133 (10); T1190 (9),credential-access (509); defense-evasion (325); initial-access (344); persistence (335); privilege-escalation (325)
36,488,127,615,526,89,T1078 (325); T1110 (508); T1133 (12); T1190 (6),credential-access (508); defense-evasion (325); initial-access (343); persistence (337); privilege-escalation (325)
37,239,176,415,284,131,T1078 (11); T1110 (273); T1133 (13),credential-access (273); defense-evasion (11); initial-access (24); persistence (24); privilege-escalation (11)
38,251,154,405,309,96,T1078 (13); T1110 (291); T1133 (13); T1190 (6),credential-access (291); defense-evasion (13); initial-access (32); persistence (26); privilege-escalation (13)
39,479,140,619,534,85,T1078 (326); T1110 (522); T1133 (14),credential-access (522); defense-evasion (326); initial-access (340); persistence (340); privilege-escalation (326)
40,83,140,223,106,117,T1078 (11); T1110 (98); T1133 (10),credential-access (98); defense-evasion (11); initial-access (21); persistence (21); privilege-escalation (11)
41,489,103,592,524,68,T1078 (325); T1110 (509); T1133 (10); T1190 (6),credential-access (509); defense-evasion (325); initial-access (341); persistence (335); privilege-escalation (325)
42,19,99,118,38,80,T1078 (13); T1110 (26); T1133 (13),credential-access (26); defense-evasion (13); initial-access (26); persistence (26); privilege-escalation (13)
43,14,94,108,25,83,T1078 (11); T1110 (19); T1133 (7),credential-access (19); defense-evasion (11); initial-access (18); persistence (18); privilege-escalation (11)
44,489,105,594,522,72,T1078 (325); T1110 (507); T1133 (10); T1190 (6),credential-access (507); defense-evasion (325); initial-access (341); persistence (335); privilege-escalation (325)
45,330,89,419,345,74,T1078 (325); T1110 (334); T1133 (11),credential-access (334); defense-evasion (325); initial-access (336); persistence (336); privilege-escalation (325)
46,239,176,415,284,131,T1078 (11); T1110 (273); T1133 (13),credential-access (273); defense-evasion (11); initial-access (24); persistence (24); privilege-escalation (11)
47,213,137,350,267,83,T1078 (13); T1110 (255); T1133 (13),credential-access (255); defense-evasion (13); initial-access (26); persistence (26); privilege-escalation (13)
48,166,114,280,195,85,T1078 (13); T1110 (185); T1133 (12),credential-access (185); defense-evasion (13); initial-access (25); persistence (25); privilege-escalation (13)
49,16,99,115,28,87,T1078 (10); T1110 (20); T1133 (10),credential-access (20); defense-evasion (10); initial-access (20); persistence (20); privilege-escalation (10)
50,489,97,586,519,67,T1078 (325); T1110 (504); T1133 (10); T1190 (6),credential-access (504); defense-evasion (325); initial-access (341); persistence (335); privilege-escalation (325)
51,17,88,105,32,73,T1078 (13); T1110 (24); T1133 (9),credential-access (24); defense-evasion (13); initial-access (22); persistence (22); privilege-escalation (13)
52,14,89,103,25,78,T1078 (11); T1110 (19); T1133 (7),credential-access (19); defense-evasion (11); initial-access (18); persistence (18); privilege-escalation (11)
53,489,102,591,521,70,T1078 (325); T1110 (507); T1133 (9); T1190 (6),credential-access (507); defense-evasion (325); initial-access (340); persistence (334); privilege-escalation (325)
54,17,77,94,26,68,T1078 (12); T1110 (19); T1133 (7),credential-access (19); defense-evasion (12); initial-access (19); persistence (19); privilege-escalation (12)
55,800,382,1182,861,321,T1078 (346); T1110 (613); T1133 (239); T1190 (9),credential-access (613); defense-evasion (346); initial-access (594); persistence (585); privilege-escalation (346)
56,800,674,1474,901,573,T1078 (347); T1110 (645); T1133 (248); T1190 (9),credential-access (645); defense-evasion (347); initial-access (604); persistence (595); privilege-escalation (347)
